0010000000;0010000217,0010000560,0010001281,0010001561,0010001267,0010001283
0010000001;0010000011,0300001680,0010001600,0010000806,0300001682,0300001277,0010000926,0130000108
0010000002;0010000914,0130000285,0300000863,0130000528,0080001722,0010000707
0010000004;0010000024,0010000053
0010000007;0420001174,0420003125,0420003112,0420003101,0010000560,0010000959,0340000061,0010001973,0010000534,0420003178,0010001281,0420003156,0010000073,0420003144,0010001267,0010001283
0010000010;0010000365,0010001308,0010000801,0010000557,0190000185,0010000926,0340000825
0010000011;0010000001,0010000014,0010000980,0010000539
0010000013;0010000011
0010000014;0010000009,0090000013,0080000011,0010000001,0130000090,0130000078
0010000015;0010001165
0010000016;0350000086,0010000557
0010000017;0310000822,0310000352,0010000532,0310000611,0310000274,0080000703,0310001139,0310000894,0310000030,0310000416,0310000624,0310000287,0310000348,0010001392,0010001772,0010000876,0080001346,0310000946,0310000748,0160000888,0310000306,0310001100,0310000402,0160001609,0310000271,0010001792,0310000094,0310000808,0310001062,0310000816,0050000839,0010001970,0310000619,0010001793,0310000072,0310001073,0310000603,0010000195,0310000587,0010000801,0310000835,0010002138,0450002511,0310000812,0310000670,0310000961,0310001224,0160001926,0010000121,0080000114,0310000846,0450002088,0410001657,0310000128,0010000791,0310000740,0160001997,0160001007,0440001566,0310001259,0450001793,0050000213,0160001155,0130000138
0010000019;0010001295,0420000687,0010000962,0420003136,0420000682,0420003200,0420001188
0010000021;0010000538,0050000000,0010000025,0010000013,0130000133
0010000022;0010000014,0300001144,0300001205
0010000023;0680000374,0010001221,0010001998,0110001738,0090000026,0110001286,0040000449,0120000795,0120000319,0010002041,0110001766,0130000121,0110001731,0060001172,0040000311,0010000064,0130001631,0120000318,0010000045,0120000380,0120000622,0010000028,0040000466,0120000773,0040000542,0120000769,0010001492,0120000376,0040000001
0010000024;0130000930,0010000004,0010000053
0010000025;0120000555,0120000333,0010001738,0010002041,0120000630,0010002024,0010000036,0120000830,0120000796,0010001560,0010001207
0010000026;0010001330,0010000022,0010000018
0010000027;0010000070,0060000024,0130000068
0010000029;0130000165,0060000015,0130000107,0010000177,0100000508,0010000006,0010001106
0010000030;0010000996,0090000013,0250000119,0250000317,0080000396,0010001306,0010000980,0250000319,0100000004,0250000233,0010000590,0010000022,0010000848,0250000640,0010000013,0010000014,0130000028,0130000133,0050000158,0040000153,0040000156,0010001319,0010000010,0010000025,0010001229,0250000110,0010001219,0250000106,0250000183
